experiment_date,species,stage,strain,treatment,conc,cell,total_worms,top_worms,bottom_worms,cue_side,cue,cue_conc
20220405,Cel,Adult,N2,NA,NA,A1,5,2,0,top,NaCl,200mM
20220405,Cel,Adult,N2,NA,NA,B1,4,1,0,top,NaCl,200mM
20220405,Cel,Adult,N2,NA,NA,C1,6,0,0,top,NaCl,200mM
20220405,Cel,Adult,N2,NA,NA,D1,8,2,0,top,NaCl,200mM
20220405,Cel,Adult,N2,NA,NA,E1,7,1,1,top,NaCl,200mM
20220405,Cel,Adult,N2,NA,NA,F1,5,1,0,top,NaCl,200mM
20220405,Cel,Adult,N2,NA,NA,G1,6,2,0,top,NaCl,200mM
20220405,Cel,Adult,N2,NA,NA,H1,8,2,0,top,NaCl,200mM
20220405,Cel,Adult,PR672,NA,NA,A2,12,1,3,top,NaCl,200mM
20220405,Cel,Adult,PR672,NA,NA,B2,11,0,1,top,NaCl,200mM
20220405,Cel,Adult,PR672,NA,NA,C2,8,0,0,top,NaCl,200mM
20220405,Cel,Adult,PR672,NA,NA,D2,9,0,1,top,NaCl,200mM
20220405,Cel,Adult,PR672,NA,NA,E2,8,1,0,top,NaCl,200mM
20220405,Cel,Adult,PR672,NA,NA,F2,9,2,3,top,NaCl,200mM
20220405,Cel,Adult,PR672,NA,NA,G2,9,0,1,top,NaCl,200mM
20220405,Cel,Adult,PR672,NA,NA,H2,11,2,2,top,NaCl,200mM
20220405,Cel,Adult,CX10,NA,NA,A3,4,0,0,top,NaCl,200mM
20220405,Cel,Adult,CX10,NA,NA,B3,7,0,0,top,NaCl,200mM
20220405,Cel,Adult,CX10,NA,NA,C3,6,0,1,top,NaCl,200mM
20220405,Cel,Adult,CX10,NA,NA,D3,5,0,1,top,NaCl,200mM
20220405,Cel,Adult,CX10,NA,NA,E3,6,0,0,top,NaCl,200mM
20220405,Cel,Adult,CX10,NA,NA,F3,5,0,0,top,NaCl,200mM
20220405,Cel,Adult,CX10,NA,NA,G3,7,0,0,top,NaCl,200mM
20220405,Cel,Adult,CX10,NA,NA,H3,9,1,2,top,NaCl,200mM
20220405,Cel,Adult,SP1234,NA,NA,A4,5,1,0,top,NaCl,200mM
20220405,Cel,Adult,SP1234,NA,NA,B4,12,2,3,top,NaCl,200mM
20220405,Cel,Adult,SP1234,NA,NA,C4,13,1,0,top,NaCl,200mM
20220405,Cel,Adult,SP1234,NA,NA,D4,11,0,0,top,NaCl,200mM
20220405,Cel,Adult,SP1234,NA,NA,E4,9,2,1,top,NaCl,200mM
20220405,Cel,Adult,SP1234,NA,NA,F4,14,2,4,top,NaCl,200mM
20220405,Cel,Adult,SP1234,NA,NA,G4,10,0,0,top,NaCl,200mM
20220405,Cel,Adult,SP1234,NA,NA,H4,6,0,2,top,NaCl,200mM
20220405,Cel,Adult,PR678,NA,NA,A5,7,1,0,top,NaCl,200mM
20220405,Cel,Adult,PR678,NA,NA,B5,2,1,1,top,NaCl,200mM
20220405,Cel,Adult,PR678,NA,NA,C5,4,0,0,top,NaCl,200mM
