experiment_date,species,stage,strain,treatment,conc,cell,total_worms,top_worms,bottom_worms,cue_side,cue,cue_conc
20211110,Cel,Adult,N2,NA,NA,B1,9,3,2,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C1,14,2,6,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D1,X,X,X,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A2,10,4,6,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B2,17,2,0,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C2,12,0,2,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D2,10,0,0,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A3,11,3,5,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B3,14,3,0,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C3,8,2,0,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D3,19,1,1,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A4,11,1,3,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B4,17,0,2,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C4,16,0,4,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D4,9,0,2,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A5,15,1,4,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B5,7,3,1,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C5,16,3,1,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D5,13,2,4,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A6,16,2,6,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B6,16,5,4,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C6,17,4,3,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D6,28,0,7,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A1,12,2,2,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B1,15,3,6,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C1,17,4,10,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D1,1,0,0,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A2,14,0,2,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B2,12,7,5,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C2,20,3,7,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D2,6,2,4,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A3,5,2,0,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B3,11,6,3,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C3,12,1,5,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D3,11,1,4,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A4,9,2,2,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B4,15,7,5,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C4,7,0,0,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D4,8,1,2,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A5,8,3,0,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B5,14,7,2,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C5,9,1,6,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D5,11,3,3,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A6,10,2,6,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B6,15,6,2,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C6,12,4,4,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D6,11,3,6,bottom,NaCl,100 mM
20211117,Cel,Adult,N2,NA,NA,A1,7,1,1,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,B1,10,3,1,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,C1,12,3,3,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,D1,9,0,5,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,A2,10,2,2,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,B2,9,2,0,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,C2,8,2,2,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,D2,4,1,4,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,A3,9,2,1,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,B3,12,4,1,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,C3,7,3,4,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,D3,14,0,8,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,A4,12,4,2,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,B4,7,1,2,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,C4,8,1,7,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,D4,12,2,5,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,A5,11,1,3,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,B5,13,6,3,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,C5,12,4,5,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,D5,8,1,5,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,A6,10,3,1,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,B6,7,2,0,top,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,C6,8,0,3,bottom,NaCl,200 mM
20211117,Cel,Adult,N2,NA,NA,D6,9,1,5,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,A1,6,3,1,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,B1,8,1,1,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,C1,11,2,3,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,D1,10,1,1,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,A2,9,1,2,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,B2,16,6,2,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,C2,11,6,2,bottom,NaCl,200 mM
